lot,article,quantite_initiale,cout_total_article,prix_vente_souhaite
LOT-2024-001,Dior Sauvage 100ml,15,180000,25000
LOT-2024-001,Chanel N°5 50ml,12,150000,28000
LOT-2024-001,Armani Code 75ml,10,120000,22000
LOT-2024-002,Nike Air Max 90,20,280000,28000
LOT-2024-002,Adidas Superstar,25,320000,25000
LOT-2024-002,Converse Chuck Taylor,30,240000,18000
LOT-2024-003,Gucci Bloom 100ml,12,220000,35000
LOT-2024-003,Yves Saint Laurent Black Opium 90ml,10,180000,32000
LOT-2024-003,Prada Luna Rossa 100ml,15,270000,30000
LOT-2024-004,Collier Or 18K Chaîne Fine,8,200000,45000
LOT-2024-004,Bague Argent Solitaire,20,120000,12000
LOT-2024-004,Boucles d'Oreilles Créoles Or,6,150000,42000
LOT-2024-005,Puma Suede Classic,18,160000,20000
LOT-2024-005,Vans Old Skool,22,185000,19000
LOT-2024-006,Lancôme La Vie Est Belle 75ml,14,280000,34000
LOT-2024-006,Yves Saint Laurent Black Opium 90ml,12,240000,32000
LOT-2024-007,Reebok Classic Leather,20,220000,22000
LOT-2024-007,New Balance 574,18,240000,24000
LOT-2024-007,Vans Old Skool,15,135000,19000
LOT-2024-008,Bracelet Argent Maille,25,180000,15000
LOT-2024-008,Montre Femme Acier,12,220000,35000
LOT-2024-008,Pendentif Coeur Or Rose,8,160000,38000
LOT-2024-009,Dior Sauvage 100ml,10,120000,25000
LOT-2024-009,Armani Code 75ml,8,95000,22000
LOT-2024-010,Parure Collier + Boucles,15,280000,32000
